zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled,percentageWithoutPower
70769,L,13781,115,1752519387288,30.31139,-90.94418,Entergy,2025-07-14 18:57:37.808404,0.83%
70774,L,1056,3,1752519387288,30.23919,-90.83908,Entergy,2025-07-14 18:57:37.808404,0.28%
70802,L,12430,1,1752519387288,30.44612,-91.1716,Entergy,2025-07-14 18:57:37.808404,0.01%
70809,L,16133,25,1752519387288,30.39812,-91.07447,Entergy,2025-07-14 18:57:37.808404,0.15%
70810,L,22165,1,1752519387288,30.36238,-91.08926,Entergy,2025-07-14 18:57:37.808404,0.0%
71016,L,1212,2,1752519387288,32.22181,-93.15159,Entergy,2025-07-14 18:57:37.808404,0.17%
71201,L,13492,1,1752519387288,32.52237,-92.10483,Entergy,2025-07-14 18:57:37.808404,0.01%
71202,L,10862,1,1752519387288,32.44317,-92.09124,Entergy,2025-07-14 18:57:37.808404,0.01%
71232,L,3068,17,1752519387288,32.43498,-91.5079,Entergy,2025-07-14 18:57:37.808404,0.55%
71237,L,561,14,1752519387288,32.59966,-91.48116,Entergy,2025-07-14 18:57:37.808404,2.5%
71254,L,2844,1,1752519387288,32.78481,-91.23093,Entergy,2025-07-14 18:57:37.808404,0.04%
71261,L,1383,1,1752519387288,32.7641,-91.72512,Entergy,2025-07-14 18:57:37.808404,0.07%
71263,L,1371,27,1752519387288,32.87646,-91.42353,Entergy,2025-07-14 18:57:37.808404,1.97%
71266,L,532,1,1752519387288,32.69013,-91.47548,Entergy,2025-07-14 18:57:37.808404,0.19%
71334,L,3565,4,1752519387288,31.63889,-91.55313,Entergy,2025-07-14 18:57:37.808404,0.11%
71351,L,5647,7,1752519387288,31.13402,-92.07119,Entergy,2025-07-14 18:57:37.808404,0.12%
71357,L,1182,4,1752519387288,32.06755,-91.25443,Entergy,2025-07-14 18:57:37.808404,0.34%
71373,L,1182,38,1752519387288,31.56768,-91.4838,Entergy,2025-07-14 18:57:37.808404,3.21%
OTHER,L,6,6,1752519387288,,,Entergy,2025-07-14 18:57:37.808404,100.0%
